setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Nozrf,278.15,0.00503,100,1000.1,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.01002,100,1000.1,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.01998,100,1000.3,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.02995,100,1000.5,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.03998,100,1000.7,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.04997,100,1000.9,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.05995,100,1001.1,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.07506,100,1001.4,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,278.15,0.10001,100,1001.8,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.00503,100,999.8,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.01002,100,999.9,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.01998,100,1000,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.02995,100,1000.2,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.03998,100,1000.4,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.04997,100,1000.6,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.05995,100,1000.8,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.07506,100,1001,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,283.15,0.10001,100,1001.5,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.00503,100,999.2,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.01002,100,999.3,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.01998,100,999.4,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.02995,100,999.6,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.03998,100,999.8,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.04997,100,1000,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.05995,100,1000.1,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.07506,100,1000.4,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,288.15,0.10001,100,1000.8,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.00503,100,998.3,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.01002,100,998.4,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.01998,100,998.5,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.02995,100,998.7,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.03998,100,998.9,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.04997,100,999.1,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.05995,100,999.2,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.07506,100,999.5,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
Nozrf,293.15,0.10001,100,999.9,Tomas et al. (2018),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water,,,
