setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapentylammonium acetate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tEXfG,293.15,0,100,0.01,998.414,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.003,100,0.01,998.572,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.006,100,0.01,998.643,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.009,100,0.01,998.698,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.012,100,0.01,998.772,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.015,100,0.01,998.827,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.018,100,0.01,998.867,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.021,100,0.01,998.913,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.024,100,0.01,998.965,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.027,100,0.01,999.016,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,293.15,0.03,100,0.01,999.177,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0,100,0.01,997.216,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.003,100,0.01,997.399,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.006,100,0.01,997.487,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.009,100,0.01,997.526,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
