setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium N-acetyl-L-valinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KgYNf,293.15,0,101.3,998.206,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.0171,101.3,998.835,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.0251,101.3,999.126,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.0415,101.3,999.723,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.0589,101.3,1000.35,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.0827,101.3,1001.21,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.1078,101.3,1002.1,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.1359,101.3,1003.09,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.1723,101.3,1004.36,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
KgYNf,293.15,0.2095,101.3,1005.65,Warminska and Kloskowski (2023),Density,Liquid,ABIssC,CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-valinate,AADYJk,O,water,,,
