setid,"Temperature, K",Mole fraction of 1-butyl-2-methylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QRfft,298.15,0.036,101,853.5,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.0547,101,882.7,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.0948,101,932.6,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.125,101,963.6,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.2676,101,1058.8,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.386,101,1104.3,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.5402,101,1143,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.6246,101,1158.5,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.7398,101,1175.5,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,298.15,0.8245,101,1185.45,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.0527,101,839,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.1009,101,889.7,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.1518,101,933,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.2108,101,975.1,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.3129,101,1030.5,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.4397,101,1079.7,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.5814,101,1119.4,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.6499,101,1134.3,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.7104,101,1145.8,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.7827,101,1158.7,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.8665,101,1171.06,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
QRfft,318.15,0.9135,101,1177.48,Navas et al. (2009),Density,Liquid,AAIsrh,CCO,ethanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
