setid,"Temperature, K","Mole fraction of 1,2-dimethyl-3-propylimidazolium thiocyanate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CHODh,288.15,0,100,787.6,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.1002,100,884.5,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.2002,100,948.8,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.2998,100,996,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.4001,100,1028.8,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.4997,100,1052.4,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.5998,100,1067.3,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.7002,100,1077.8,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.7999,100,1085.7,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,0.8999,100,1093.8,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,288.15,1,100,1099.8,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,293.15,0,100,781.9,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,293.15,0.1002,100,880.2,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,293.15,0.2002,100,945.2,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,293.15,0.2998,100,992.5,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
CHODh,293.15,0.4001,100,1025.8,Zhang et al. (2018c),Density,Liquid,AAlxvi,CCCn1cc[n+](C)c1C.N#C[S-],"1,2-dimethyl-3-propylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
