setid,"MolaLity of 3-methyl-1-propylimidazolium alaninate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TVIMR,0,288.15,100.3,999.1,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,293.15,100.3,998.2,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,298.15,100.3,997,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,303.15,100.3,995.6,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,308.15,100.3,994,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,313.15,100.3,992.2,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,318.15,100.3,990.2,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,323.15,100.3,988,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0,328.15,100.3,985.7,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
TVIMR,0.0167,288.15,100.3,999.5,Tong et al. (2017),Density,Liquid,AApAKz,CCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-propylimidazolium alaninate,AADYJk,O,water,,,
