setid,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EAnge,293.15,0.0901,0.1501,101.3,1010.84,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.11,0,101.3,1004.98,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.1101,0.1501,101.3,1011.82,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.1102,0.0998,101.3,1009.82,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.1102,0.1999,101.3,1013.81,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0,0,101.3,997.16,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0,0.0998,101.3,1001.82,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0,0.1501,101.3,1004.04,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0,0.1999,101.3,1006.22,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0098,0.0998,101.3,1002.43,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0099,0,101.3,997.8,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0099,0.1501,101.3,1004.63,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0101,0.1999,101.3,1006.79,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0299,0.1999,101.3,1007.85,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.03,0,101.3,999.06,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.03,0.1501,101.3,1005.76,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0301,0.0998,101.3,1003.64,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.05,0,101.3,1000.28,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0501,0.1501,101.3,1006.82,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0501,0.1999,101.3,1008.85,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0502,0.0998,101.3,1004.78,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0698,0.1999,101.3,1009.81,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0699,0,101.3,1001.45,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0699,0.1501,101.3,1007.84,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.07,0.0998,101.3,1005.87,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0898,0.0998,101.3,1006.92,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.09,0,101.3,1002.59,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.09,0.1999,101.3,1010.75,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.0901,0.1501,101.3,1008.84,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.11,0,101.3,1003.65,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.1101,0.1501,101.3,1009.79,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.1102,0.0998,101.3,1007.96,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,298.15,0.1102,0.1999,101.3,1011.65,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0,0,101.3,995.86,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0,0.0998,101.3,1000.25,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0,0.1501,101.3,1002.41,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0,0.1999,101.3,1004.19,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0098,0.0998,101.3,1000.84,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0099,0,101.3,996.48,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0099,0.1501,101.3,1002.98,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0101,0.1999,101.3,1004.74,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0299,0.1999,101.3,1005.76,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.03,0,101.3,997.7,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.03,0.1501,101.3,1004.07,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0301,0.0998,101.3,1002,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.05,0,101.3,998.87,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0501,0.1501,101.3,1005.1,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0501,0.1999,101.3,1006.74,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0502,0.0998,101.3,1003.11,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0698,0.1999,101.3,1007.66,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0699,0,101.3,999.99,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0699,0.1501,101.3,1006.1,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.07,0.0998,101.3,1004.17,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0898,0.0998,101.3,1005.19,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.09,0,101.3,1001.09,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.09,0.1999,101.3,1008.58,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.0901,0.1501,101.3,1007.07,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.11,0,101.3,1002.17,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.1101,0.1501,101.3,1007.99,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.1102,0.0998,101.3,1006.2,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,303.15,0.1102,0.1999,101.3,1009.46,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0,0,101.3,994.11,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0,0.0998,101.3,998.74,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0,0.1501,101.3,1000.53,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
