setid,"Temperature, K","Mole fraction of 1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ikPqf,293.15,0,101.3,1204.13,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.1001,101.3,1279.76,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.2007,101.3,1333,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.3096,101.3,1374.99,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.3983,101.3,1401.32,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.5126,101.3,1428.32,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.5825,101.3,1442.07,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.7004,101.3,1461.26,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.8032,101.3,1475.21,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,0.8903,101.3,1485.35,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,293.15,1,101.3,1496.36,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,298.15,0,101.3,1198.81,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,298.15,0.1001,101.3,1274.52,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,298.15,0.2007,101.3,1327.85,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ikPqf,298.15,0.3096,101.3,1369.9,Liu et al. (2021a),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
