setid,Mole fraction of 1-butyl-3-methylimidazolium tricyanomethane,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JdRAl,0.26,101,298.15,944,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAsEJq,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-butyl-3-methylimidazolium tricyanomethane,,,
JdRAl,0.47,101,298.15,992,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAsEJq,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-butyl-3-methylimidazolium tricyanomethane,,,
JdRAl,0.65,101,298.15,1017,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAsEJq,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-butyl-3-methylimidazolium tricyanomethane,,,
JdRAl,0.83,101,298.15,1035,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAsEJq,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-butyl-3-methylimidazolium tricyanomethane,,,
