setid,"MolaRity of silver bis(trifluoromethanesulfonyl)amide, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lOkFS,0.45,293,100,1868.2,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,0.45,303,100,1867.2,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,0.45,313,100,1866.1,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,0.45,323,100,1865.1,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,0.45,333,100,1864,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,0.45,343,100,1863,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,0.45,353,100,1861.9,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,1.8,293,100,2147.1,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,1.8,303,100,2145.9,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,1.8,313,100,2144.7,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,1.8,323,100,2143.4,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,1.8,333,100,2142.2,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,1.8,343,100,2141,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
lOkFS,1.8,353,100,2139.8,Sanchez (2008),Density,Liquid,ABWgsb,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],silver bis(trifluoromethanesulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
