setid,"Temperature, K","MolaLity of 1-ethyl-3-octyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aZEHY,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0128,100,998.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0143,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0149,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0171,100,998.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0206,100,999,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0216,100,999.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.026,100,999.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0313,100,999.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0355,100,999.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0377,100,999.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,293.15,0.0436,100,1000,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0128,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0143,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0149,100,997.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0171,100,997.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0206,100,997.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0216,100,997.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.026,100,998.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0313,100,998.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0355,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0377,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,298.15,0.0436,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0128,100,996,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0143,100,996,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0149,100,996.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0171,100,996.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0206,100,996.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0216,100,996.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.026,100,996.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0313,100,996.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0355,100,996.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,303.15,0.0377,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
