setid,"Temperature, K",Mole fraction of diethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yPuHI,293.15,0,100.9,998.2,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.015,100.9,1003,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.055,100.9,1015,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.119,100.9,1021,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.168,100.9,1020,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.24,100.9,1013,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.35,100.9,999,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.549,100.9,985,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.708,100.9,972,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,0.835,100.9,965,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,293.15,1,100.9,949,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,298.15,0,100.9,997.04,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,298.15,0.015,100.9,1001,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,298.15,0.055,100.9,1012,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,298.15,0.119,100.9,1018,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,298.15,0.168,100.9,1017,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
yPuHI,298.15,0.24,100.9,1010,Nascimento et al. (2020),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
