setid,Weight fraction of ethanol,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IKpXi,0.1933,0.2356,101,298.15,1007.84,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1966,0.6427,101,298.15,981.28,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2207,0.0743,101,298.15,1004.35,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.234,0.1026,101,298.15,999.59,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2454,0.1464,101,298.15,994.75,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2673,0.2139,101,298.15,985.2,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2918,0.0676,101,298.15,981.21,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2928,0.6364,101,298.15,957.48,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2933,0.424,101,298.15,968.46,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2942,0.4941,101,298.15,965.25,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.2997,0.5603,101,298.15,959.9,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.3118,0.0922,101,298.15,974.83,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.3249,0.131,101,298.15,969.11,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.353,0.1889,101,298.15,960.29,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
