setid,Mole fraction of water,Mole fraction of 2-hydroxypropanoic acid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZCZSc,0.2808,0.2332,303.15,100,1389.8,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.3017,0.3679,303.15,100,1362.5,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.3298,0.443,303.15,100,1337.7,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.3667,0.4732,303.15,100,1318,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.3969,0.4878,303.15,100,1284.4,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.4398,0.4872,303.15,100,1248.8,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.4725,0.4766,303.15,100,1210,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.5659,0.4097,303.15,100,1142,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.6802,0.3094,303.15,100,1175.6,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
ZCZSc,0.8524,0.1453,303.15,100,1108.2,Riveiro et al. (2019),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
