setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sUUvz,298.15,0,100,1095.37,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.0111,100,1096.4,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.0341,100,1096.96,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.0713,100,1097.81,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.1122,100,1098.51,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.1731,100,1098.36,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.2433,100,1097.41,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.3032,100,1095.8,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.3705,100,1093.86,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.4746,100,1090.52,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.5997,100,1086.4,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.7115,100,1083.11,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.843,100,1079.14,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,0.9445,100,1076.25,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,298.15,1,100,1074.43,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,303.15,0,100,1092.41,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,303.15,0.0111,100,1093.12,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,303.15,0.0341,100,1094.05,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
sUUvz,303.15,0.0713,100,1094.88,Govinda et al. (2013c),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
