setid,"MolaRity of tetraoctylammonium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NGQFV,0.01142,101.3,298,936.76,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
NGQFV,0.03045,101.3,298,937.7,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
NGQFV,0.04951,101.3,298,938.58,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
NGQFV,0.06854,101.3,298,939.71,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
NGQFV,0.08952,101.3,298,940.5,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
NGQFV,0.11042,101.3,298,941.43,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
