setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lmore,0.015,298.15,100,997.43,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.015,303.15,100,995.92,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.015,308.15,100,994.46,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.015,313.15,100,992.47,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.015,318.15,100,990.42,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.018,293.15,100,998.6,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.018,298.15,100,997.49,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.018,303.15,100,995.97,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.018,308.15,100,994.51,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.018,313.15,100,992.51,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.018,318.15,100,990.45,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.021,293.15,100,998.65,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.021,298.15,100,997.53,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
