setid,"Temperature, K",Mole fraction of 1-ethylpyridinium triflate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Qxvvh,283.15,0,101,999.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,283.15,0.067,101,1176.4,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,283.15,0.183,101,1288.1,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,293.15,0,101,998.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,293.15,0.067,101,1170.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,293.15,0.183,101,1280.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,293.15,0.498,101,1366.1,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,293.15,0.689,101,1387.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,293.15,0.893,101,1401.9,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,293.15,1,101,1409,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,298.15,0,101,997,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,298.15,0.067,101,1167,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,298.15,0.183,101,1276.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,298.15,0.498,101,1361.9,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,298.15,0.689,101,1383,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,298.15,0.893,101,1397.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,298.15,1,101,1404.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,303.15,0,101,995.6,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,303.15,0.067,101,1163.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,303.15,0.183,101,1272.1,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,303.15,0.498,101,1357.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,303.15,0.689,101,1378.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
