setid,"Temperature, K",Mole fraction of 1-ethyl-1-methylpyrrolidinium diethyl phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Kjyur,293.15,0,100,790,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.02,100,817,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.0403,100,842,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.08,100,882,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.1003,100,899,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.1204,100,913,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.16,100,939,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.2001,100,961,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.3004,100,1002,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.4001,100,1030,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.4997,100,1052,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.6002,100,1069,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.7001,100,1083,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.8011,100,1094,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,0.8985,100,1103,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,293.15,1,100,1111,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0,100,785,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0.02,100,813,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0.0403,100,838,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0.08,100,878,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0.1003,100,895,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0.1204,100,910,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0.16,100,935,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
Kjyur,298.15,0.2001,100,957,Skonieczny and Krolikowska (2022),Density,Liquid,AAzVSZ,CCOP(=O)([O-])OCC.CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium diethyl phosphate,AAIsrh,CCO,ethanol,,,
