setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gKqhX,293.15,0,100,814.5,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.0824,100,859.7,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.1538,100,895.2,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.2318,100,930.5,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.3425,100,975.5,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.4363,100,1009.6,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.5668,100,1051.6,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.6481,100,1075.1,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.7481,100,1101.5,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.8416,100,1124.1,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,0.9415,100,1146.2,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,293.15,1,100,1158.3,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,303.15,0,100,807.1,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,303.15,0.0824,100,852.7,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,303.15,0.1538,100,888.4,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,303.15,0.2318,100,923.8,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
gKqhX,303.15,0.3425,100,968.9,Almasi and Mirzaei (2020),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxal,CCCCCO,pentan-1-ol,,,
