setid,"Temperature, K","MolaLity of L-valine, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VjfhB,298.15,0.01,0.001,100,997.4,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.01,0.003,100,997.5,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.01,0.005,100,997.7,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.0251,0.001,100,997.8,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.0251,0.003,100,997.9,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.0251,0.005,100,998.1,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.0403,0.001,100,998.1,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.0403,0.003,100,998.3,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.0403,0.005,100,998.4,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VjfhB,298.15,0.0554,0.001,100,998.5,Mallick et al. (2023),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
