setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eGUCp,293.15,0.201,101,1049.11,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,293.15,0.402,101,1134.94,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,293.15,0.601,101,1179.14,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,293.15,0.802,101,1207.1,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,298.15,0.201,101,1045.28,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,298.15,0.402,101,1131.29,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,298.15,0.601,101,1175.62,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,298.15,0.802,101,1203.7,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,303.15,0.201,101,1041.44,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,303.15,0.402,101,1127.6,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,303.15,0.601,101,1172.11,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,303.15,0.802,101,1200.2,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,308.15,0.201,101,1037.6,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,308.15,0.402,101,1123.83,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,308.15,0.601,101,1168.63,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,308.15,0.802,101,1196.8,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,313.15,0.201,101,1033.76,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,313.15,0.402,101,1120.16,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
