setid,Mole fraction of imidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IJnuk,0.1667,293.2,100,1266.55,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.1667,303.2,100,1260.69,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.1667,313.2,100,1254.72,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.1667,323.2,100,1248.66,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.1667,333.2,100,1242.57,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.1667,343.2,100,1236.4,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.1667,353.2,100,1230.26,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.25,293.2,100,1267.93,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.25,303.2,100,1262.12,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.25,313.2,100,1256.2,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.25,323.2,100,1250.25,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.25,333.2,100,1244.32,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.25,343.2,100,1238.41,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.25,353.2,100,1232.51,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.3333,293.2,100,1270.8,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.3333,303.2,100,1265.13,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.3333,313.2,100,1259.22,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.3333,323.2,100,1253.31,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.3333,333.2,100,1247.4,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.3333,343.2,100,1241.49,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.3333,353.2,100,1235.56,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.5,293.2,100,1277.3,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.5,303.2,100,1269.29,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.5,313.2,100,1261.25,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.5,323.2,100,1255.28,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.5,333.2,100,1249.42,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.5,343.2,100,1243.59,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
IJnuk,0.5,353.2,100,1237.76,Ma et al. (2021b),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AARkmK,OCC(O)CO,glycerol,,,
