setid,"Temperature, K","MolaLity of trimethylbenzylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oWvpJ,293.15,0,101,998.24,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.0509,101,999.141,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.0978,101,999.954,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.1457,101,1000.78,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.193,101,1001.58,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.243,101,1002.42,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.2913,101,1003.23,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.3413,101,1004.06,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.3893,101,1004.78,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,293.15,0.4887,101,1006.45,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0,101,995.681,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.0509,101,996.527,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.0978,101,997.29,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.1457,101,998.059,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.193,101,998.814,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.243,101,999.6,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.2913,101,1000.36,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.3413,101,1001.13,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.3893,101,1001.81,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,303.15,0.4887,101,1003.38,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0,101,992.248,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.0509,101,993.051,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.0978,101,993.775,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.1457,101,994.506,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.193,101,995.222,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.243,101,995.97,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.2913,101,996.689,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.3413,101,997.424,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.3893,101,998.067,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,313.12,0.4887,101,999.557,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
