setid,"Temperature, K",Mole fraction of bis(2-hydroxyethyl)dimethylammonium methanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hZHzt,298.15,0,101,781,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.0998,101,886.6,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.2001,101,971,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.3002,101,1040.1,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.4004,101,1097.7,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.4982,101,1144.7,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.5999,101,1186.9,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.6997,101,1221.8,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.7978,101,1251.8,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,0.8994,101,1278.6,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,298.15,1,101,1298.2,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0,101,776.8,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.0998,101,882.7,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.2001,101,967.4,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.3002,101,1036.6,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.4004,101,1094.3,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.4982,101,1141.9,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.5999,101,1183.6,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.6997,101,1218.6,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.7978,101,1248.6,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
hZHzt,303.15,0.8994,101,1275.4,Cai et al. (2020c),Density,Liquid,AAsEXb,CS(=O)(=O)[O-].C[N+](C)(CCO)CCO,bis(2-hydroxyethyl)dimethylammonium methanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
