setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YXPbR,273,100,0.2,1517,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,278,100,0.2,1512,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,283,100,0.2,1508,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,288,100,0.2,1503,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,293,100,0.2,1498,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,298,100,0.2,1494,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,303,100,0.2,1489,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,308,100,0.2,1484,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,313,100,0.2,1480,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
YXPbR,318,100,0.2,1475,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,ABRqdZ,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Cs+],cesium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
