setid,"Temperature, K",Mole fraction of 1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RjdSO,293.15,0,100,1129.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.05,100,1185.1,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.0999,100,1229.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.1999,100,1295.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.2912,100,1338.9,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.4005,100,1377.5,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.4986,100,1403.9,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.6,100,1425.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.6997,100,1442.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.7998,100,1457.1,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,0.8818,100,1467.1,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,293.15,1,100,1479.3,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0,100,1124.3,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.05,100,1180.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.0999,100,1224.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.1999,100,1290.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.2912,100,1334,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
