setid,"Temperature, K",Weight fraction of triethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XpLjk,303.15,0,101,1195.7,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,303.15,0.1998,101,1175.8,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,303.15,0.3987,101,1161.1,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,303.15,0.5005,101,1150.1,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,303.15,0.6,101,1146.4,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,303.15,0.7999,101,1129.6,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,303.15,1,101,1114.4,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,313.15,0,101,1188.6,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,313.15,0.1998,101,1168.6,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,313.15,0.3987,101,1154.4,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,313.15,0.5005,101,1142.9,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,313.15,0.6,101,1139.6,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,313.15,0.7999,101,1123.2,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,313.15,1,101,1108.3,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,323.15,0,101,1181.6,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,323.15,0.1998,101,1161.5,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,323.15,0.3987,101,1146.9,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,323.15,0.5005,101,1135.5,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
