setid,"Temperature, K",Mole fraction of trimethylammonium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uiXeJ,298.15,0,101,1095.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.013,101,1102.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.0356,101,1115.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.0539,101,1125.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.0982,101,1149.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.1259,101,1164.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.1608,101,1181.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.1982,101,1199.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.2422,101,1220.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.2956,101,1243.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.3855,101,1281,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
uiXeJ,298.15,0.4611,101,1309.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
