setid,"Temperature, K","MolaLity of L-glutamine, mol/kg","Solvent: MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WMDQo,293.15,0.01,0.001,100,998.9,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.01,0.003,100,998.95,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.01,0.005,100,999.01,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.025,0.001,100,999.79,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.025,0.003,100,999.82,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.025,0.005,100,999.87,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.04,0.001,100,1000.71,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.04,0.003,100,1000.74,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.04,0.005,100,1000.78,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.055,0.001,100,1001.62,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.055,0.003,100,1001.64,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.055,0.005,100,1001.67,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.07,0.001,100,1002.53,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.07,0.003,100,1002.55,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.07,0.005,100,1002.57,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
WMDQo,293.15,0.085,0.001,100,1003.46,Majumder et al. (2023),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
