setid,"Temperature, K",Mole fraction of oct-1-ene,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tFLmC,283.1,0,101,1385.4,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,283.1,0.05,101,1372.1,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,283.1,0.1,101,1356,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,283.1,0.139,101,1340,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,283.1,0.154,101,1340,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,298.15,0,101,1370.7,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,298.15,0.05,101,1358,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,298.15,0.1,101,1342,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,298.15,0.139,101,1328,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,298.15,0.154,101,1326,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
tFLmC,323.15,0,101,1348,Ahosseini et al. (2010),Density,Liquid,AAVexq,C=CCCCCCC,oct-1-ene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
