setid,"Temperature, K","MolaLity of 1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XpIeI,293.15,0.05038,100,1004.1,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,293.15,0.10143,100,1009.9,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,293.15,0.20293,100,1020.9,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,293.15,0.25489,100,1026.3,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,293.15,0.30069,100,1030.8,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,293.15,0.3542,100,1036,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,293.15,0.40249,100,1040.5,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,293.15,0.45414,100,1045.2,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,298.15,0.05038,100,1002.9,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,298.15,0.10143,100,1008.6,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,298.15,0.20293,100,1019.4,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,298.15,0.25489,100,1024.7,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
XpIeI,298.15,0.30069,100,1029.2,Singh and Gardas (2018),Density,Liquid,ABdqFe,CCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-pentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
