setid,"Mole fraction of 1,2-butanediol","Temperature, K","Pressure, kPa","Moles per mass of solution: 1-butyl-3-methylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IRyYi,0.0329,298.15,101,0.1,1011.6,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.0687,298.15,101,0.1,1018,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.1074,298.15,101,0.1,1021.3,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.1487,298.15,101,0.1,1022.5,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.1925,298.15,101,0.1,1022.5,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.2382,298.15,101,0.1,1021.7,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.2855,298.15,101,0.1,1020.5,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.3338,298.15,101,0.1,1019.2,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.3826,298.15,101,0.1,1017.7,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.4312,298.15,101,0.1,1016.2,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
