setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-pyrrolidinone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FTveC,293.15,0.1567,0.7567,100,1144.9,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.1734,0.7346,100,1148.4,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.1931,0.6987,100,1150.5,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.2012,0.6876,100,1152.1,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.2219,0.6514,100,1154.4,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.2441,0.6166,100,1157.6,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.2638,0.5876,100,1160.7,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.2877,0.5511,100,1164.2,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.3045,0.5265,100,1166.8,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.3279,0.4956,100,1170.9,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.3469,0.4734,100,1174.6,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.3618,0.4525,100,1177,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.3845,0.4275,100,1181.5,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.4098,0.3998,100,1186.6,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
FTveC,293.15,0.4302,0.3776,100,1190.6,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
