setid,"Temperature, K","MolaLity of N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mCGEt,303.15,0,101,996.1,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,303.15,0.4746,101,1039.5,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,303.15,0.9495,101,1091.5,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,303.15,1.4224,101,1138.6,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,303.15,1.9045,101,1193.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,303.15,2.3644,101,1249.7,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,308.15,0,101,994.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,308.15,0.4746,101,1037.4,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,308.15,0.9495,101,1088.3,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
mCGEt,308.15,1.4224,101,1136.6,Cai et al. (2017),Density,Liquid,ABdDxa,C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",AADYJk,O,water,,,
