setid,"MolaLity of 1-ethyl-3-methylimidazolium xanthinide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JrMtV,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.0329,94.4,298.15,999.36,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.0507,94.4,298.15,1000.59,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.065,94.4,298.15,1001.6,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.083,94.4,298.15,1002.85,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.1275,94.4,298.15,1005.87,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.2149,94.4,298.15,1011.74,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.2586,94.4,298.15,1014.62,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.35,94.4,298.15,1020.51,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.4415,94.4,298.15,1026.22,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.5401,94.4,298.15,1032.27,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.6431,94.4,298.15,1038.22,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.751,94.4,298.15,1044.37,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
JrMtV,0.8622,94.4,298.15,1050.58,Gavhane et al. (2022),Density,Liquid,AAyWfk,[N-]1C(=O)NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium xanthinide,AADYJk,O,water,,,
