setid,"Temperature, K","Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MelNJ,293.15,0,100,809.72,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.0499,100,828.74,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.1004,100,845.73,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.1999,100,875.01,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.2997,100,899.57,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.3985,100,920.24,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.4997,100,938.26,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.6499,100,960.31,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.8002,100,978.39,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,0.9004,100,988.56,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,293.15,1,100,997.25,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0,100,805.92,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.0499,100,824.87,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.1004,100,841.79,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.1999,100,870.95,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.2997,100,895.41,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.3985,100,916.05,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.4997,100,933.99,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.6499,100,955.97,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.8002,100,974,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,0.9004,100,984.14,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,298.15,1,100,992.8,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,303.15,0,100,802.08,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,303.15,0.0499,100,820.97,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,303.15,0.1004,100,837.82,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
MelNJ,303.15,0.1999,100,866.87,Chen et al. (2015c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
