setid,"Temperature, K",Mole fraction of dimethylformamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sxcJR,293.15,0,101,1368.9,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.1002,101,1349.3,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.2,101,1329.8,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.3002,101,1309.5,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.3999,101,1289.9,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.5,101,1262.8,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.6,101,1224.4,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.7,101,1181.9,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.7999,101,1129.2,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,0.8999,101,1055,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,293.15,1,101,949.1,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0,101,1363.5,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0.1002,101,1345.4,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0.2,101,1325.6,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0.3002,101,1305.3,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0.3999,101,1285.6,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0.5,101,1258.6,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0.6,101,1220,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sxcJR,298.15,0.7,101,1177.8,Geng et al. (2008b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
