setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of L-serine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eAWDv,0,293.15,0,101.3,998.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,293.15,0.02,101.3,999.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,293.15,0.04,101.3,1000,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,293.15,0.0599,101.3,1000.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,293.15,0.08,101.3,1001.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,293.15,0.099,101.3,1002.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,293.15,0.12,101.3,1003.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,293.15,0.14,101.3,1004.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,298.15,0,101.3,997.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,298.15,0.02,101.3,998,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,298.15,0.04,101.3,998.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,298.15,0.0599,101.3,999.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
