setid,"Temperature, K",Mole fraction of ethanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mtuSp,298.15,0,101,1008.8,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.0449,101,1006.3,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.1305,101,1001,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.2969,101,988.5,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.4753,101,969.8,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.6858,101,933.54,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.8809,101,868.64,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.917,101,849.07,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.955,101,824.08,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,0.9794,101,804.61,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,298.15,1,101,785.11,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0,101,1000.2,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0.0449,101,997.6,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0.1305,101,992.2,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0.2969,101,979.6,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0.4753,101,960.8,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0.6858,101,923.78,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0.8809,101,857.66,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
mtuSp,313.15,0.917,101,837.68,Gonzalez et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
