setid,"Temperature, K","MolaLity of 1-ethylpyridinium dicyanamide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QaTQC,288.15,0.0115,100,999.38,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.0277,100,999.8,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.0559,100,1000.47,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.1192,100,1001.85,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.1702,100,1002.89,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.2822,100,1005.07,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.3221,100,1005.8,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.3867,100,1007.01,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,288.15,0.4419,100,1007.98,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.0115,100,998.48,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.0277,100,998.88,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.0559,100,999.51,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.1192,100,1000.82,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
