setid,"MolaRity of tetraphenylphosphonium chloride, mol/dm3","Temperature, K","Pressure, kPa",Solvent: Mole fraction of dimethyl sulfoxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Acqks,0,298.15,101,0.05,1021,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.0001,298.15,101,0.05,1021.1,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.00559,298.15,101,0.05,1021.4,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.019941,298.15,101,0.05,1022.3,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.026035,298.15,101,0.05,1022.7,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.030325,298.15,101,0.05,1022.9,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.04373,298.15,101,0.05,1023.8,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.049495,298.15,101,0.05,1024.1,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.054838,298.15,101,0.05,1024.4,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.061461,298.15,101,0.05,1024.9,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.071518,298.15,101,0.05,1025.5,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.101536,298.15,101,0.05,1027.4,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.19082,298.15,101,0.05,1032.9,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.299069,298.15,101,0.05,1039.7,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.348478,298.15,101,0.05,1042.8,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
Acqks,0.427233,298.15,101,0.05,1047.7,Perie and Perie (1989),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
