setid,"Temperature, K",Weight fraction of D-sorbitol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ehEKc,278.15,0.037,101,1255.77,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,278.15,0.056,101,1258.66,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,278.15,0.113,101,1267.3,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,278.15,0.16,101,1274.68,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,278.15,0.182,101,1278.11,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,278.15,0.202,101,1281.13,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,283.15,0.037,101,1252.33,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,283.15,0.056,101,1255.52,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,283.15,0.113,101,1263.85,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,283.15,0.16,101,1271.21,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,283.15,0.182,101,1274.65,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,283.15,0.202,101,1277.67,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,288.15,0.037,101,1248.88,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,288.15,0.056,101,1251.77,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,288.15,0.113,101,1260.41,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,288.15,0.16,101,1267.76,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,288.15,0.182,101,1271.19,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,288.15,0.202,101,1274.21,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,293.15,0.037,101,1245.42,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,293.15,0.056,101,1248.33,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,293.15,0.113,101,1256.99,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,293.15,0.16,101,1264.34,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,293.15,0.182,101,1267.76,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,293.15,0.202,101,1270.77,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,298.15,0.037,101,1241.97,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ehEKc,298.15,0.056,101,1244.88,Carneiro et al. (2014),Density,Liquid,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
