setid,"Solvent: MolaLity of propylammonium formate, mol/kg","MolaLity of D-glucose, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RakRk,0,0,293.15,100,998.208,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0,298.15,100,997.048,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0,303.15,100,995.66,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0,308.15,100,994.044,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0,313.15,100,992.228,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0,318.15,100,990.224,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0,323.15,100,988.031,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0501,293.15,100,1001.67,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0501,298.15,100,1000.44,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0501,303.15,100,999.038,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0501,308.15,100,997.396,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0501,313.15,100,995.571,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0501,318.15,100,993.55,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0501,323.15,100,991.349,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0698,293.15,100,1003.02,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0698,298.15,100,1001.76,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0698,303.15,100,1000.35,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0698,308.15,100,998.701,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0698,313.15,100,996.873,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0698,318.15,100,994.845,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0698,323.15,100,992.639,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0912,293.15,100,1004.47,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0912,298.15,100,1003.17,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0912,303.15,100,1001.76,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0912,308.15,100,1000.11,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
RakRk,0,0.0912,313.15,100,998.274,Singh et al. (2016c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
