setid,"Temperature, K","MolaLity of dibutyldiphenylphosphonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iwDie,288.15,0.03956,101.3,1001.73,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,288.15,0.04073,101.3,1001.81,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,288.15,0.05442,101.3,1002.71,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,288.15,0.09152,101.3,1005.12,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,288.15,0.11425,101.3,1006.57,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,288.15,0.13664,101.3,1007.99,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,298.15,0.03835,101.3,999.49,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,298.15,0.03943,101.3,999.55,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,298.15,0.05266,101.3,1000.38,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,298.15,0.08854,101.3,1002.6,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,298.15,0.11052,101.3,1003.94,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,298.15,0.13174,101.3,1005.23,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,308.15,0.03835,101.3,996.38,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,308.15,0.03943,101.3,996.44,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,308.15,0.05266,101.3,997.22,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,308.15,0.08854,101.3,999.35,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,308.15,0.11052,101.3,1000.64,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
iwDie,308.15,0.13174,101.3,1001.88,Takaizumi and Wakabayashi (1980b),Density,Liquid,AADYJk,O,water,ABUxhm,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1.[Br-],dibutyldiphenylphosphonium bromide,,,
