setid,"MolaLity of 1-octylpyridinium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ByBGx,0.03,278.15,100,1001.4,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,278.15,100,1001.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,278.15,100,1001.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,278.15,100,1001.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,288.15,100,1000.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,288.15,100,1000.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,288.15,100,1000.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,293.15,100,999.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,293.15,100,999.5,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,293.15,100,999.6,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,298.15,100,998.4,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,298.15,100,998.4,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
ByBGx,0.03,303.15,100,996.9,Yan et al. (2020),Density,Liquid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water,,,
