setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UZSiM,293.15,0.05,87,1001.9,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,293.15,0.1,87,1005.2,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,293.15,0.15,87,1008.3,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,298.15,0.05,87,1000.6,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,298.15,0.1,87,1003.9,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,298.15,0.15,87,1006.9,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,303.15,0.05,87,999.1,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,303.15,0.1,87,1002.4,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,303.15,0.15,87,1005.3,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,308.15,0.05,87,997.5,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,308.15,0.1,87,1000.6,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,308.15,0.15,87,1003.5,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,313.15,0.05,87,995.6,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,313.15,0.1,87,998.7,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
UZSiM,313.15,0.15,87,1001.5,Rafiee and Frouzesh (2016b),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
