setid,"Temperature, K","MolaLity of 1,3-dimethylimidazolium methylsulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Hqxnb,288.15,0.0333,100,1000.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,288.15,0.052,100,1001.7,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,288.15,0.0743,100,1002.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,288.15,0.0945,100,1003.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,288.15,0.1147,100,1004.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,288.15,0.1309,100,1005.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,288.15,0.1517,100,1006.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,288.15,0.1791,100,1007.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.0333,100,998.7,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.052,100,999.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.0743,100,1000.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.0945,100,1001.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.1147,100,1002.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.1309,100,1003.3,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.1517,100,1004.3,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,298.15,0.1791,100,1005.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,308.15,0.0333,100,995.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,308.15,0.052,100,996.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,308.15,0.0743,100,997.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,308.15,0.0945,100,998.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,308.15,0.1147,100,999.4,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
Hqxnb,308.15,0.1309,100,1000.2,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
