setid,"Temperature, K",Mole fraction of trimethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VkzZM,298.15,0,101,1095.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.0159,101,1094.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.0656,101,1093.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.1182,101,1091.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.1693,101,1089.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.2333,101,1086.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.2857,101,1084.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.3408,101,1081.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.3877,101,1079.6,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.4358,101,1077.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.5129,101,1073.6,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.5506,101,1071.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.5959,101,1069.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.6852,101,1065.6,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.7487,101,1062.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.8156,101,1060.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.8651,101,1058.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
