setid,"Mole fraction of N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jZPoA,0,101,298.15,822.6,Domanska et al. (2008d),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,AAwuZB,CCCCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",,,
jZPoA,0.00018,101,298.15,824.5,Domanska et al. (2008d),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,AAwuZB,CCCCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",,,
jZPoA,0.00045,101,298.15,826.8,Domanska et al. (2008d),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,AAwuZB,CCCCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",,,
jZPoA,0.00076,101,298.15,828.7,Domanska et al. (2008d),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,AAwuZB,CCCCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",,,
