setid,"Temperature, K",Weight fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aNBVk,310,0,101,801.71,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,310,1,101,1136,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,315,0,101,797.93,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,315,1,101,1132.6,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,320,0,101,794.15,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,320,0.15,101,832.41,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,320,0.2028,101,846,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,320,0.31034,101,875.8,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,320,0.43679,101,914.6,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,320,1,101,1129.2,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,325,0,101,790.37,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,325,0.15,101,827.96,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,325,0.2028,101,841.6,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,325,0.31034,101,873.4,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,325,0.43679,101,910.1,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,325,1,101,1125.9,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,330,0,101,786.59,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,330,0.15,101,823.5,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,330,0.2028,101,837.2,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,330,0.31034,101,870.9,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,330,0.43679,101,905.6,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
aNBVk,330,1,101,1122.5,Wagner et al. (2004a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
