setid,"Temperature, K",Mole fraction of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DNQuO,303.15,0.2,101,1063.58,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,303.15,0.397,101,1157.98,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,303.15,0.595,101,1215.98,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,303.15,0.79,101,1252.8,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,313.15,0.2,101,1055.09,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,313.15,0.397,101,1149.65,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,313.15,0.595,101,1207.7,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,313.15,0.79,101,1244.1,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,323.15,0.2,101,1045.97,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,323.15,0.397,101,1141.51,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,323.15,0.595,101,1199.32,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,323.15,0.79,101,1235,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,333.15,0.2,101,1036,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,333.15,0.397,101,1133.12,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,333.15,0.595,101,1192.03,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
DNQuO,333.15,0.79,101,1223.8,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
