setid,"MolaLity of tetraethylphosphonium iodide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NTiYx,0,298,101.325,786.6,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.0001,298,101.325,786.99,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.0002,298,101.325,787.09,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01245,298,101.325,788,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01245,298,101.325,788.5,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.0125,298,101.325,788.5,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01346,298,101.325,788.7,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01369,298,101.325,788.19,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01389,298,101.325,788.6,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01502,298,101.325,788.3,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01509,298,101.325,788.9,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01552,298,101.325,788.8,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01636,298,101.325,788.99,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01638,298,101.325,788.5,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01649,298,101.325,788.9,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01706,298,101.325,789.14,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01764,298,101.325,789.04,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01765,298,101.325,788.64,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01994,298,101.325,789,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.01997,298,101.325,789,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.02235,298,101.325,790,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.02238,298,101.325,789,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.02533,298,101.325,789.5,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.02538,298,101.325,789.9,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
NTiYx,0.0254,298,101.325,790,Pinheiro et al. (2003),Density,Liquid,AAGIBL,CO,methanol,ABAlGF,CC[P+](CC)(CC)CC.[I-],tetraethylphosphonium iodide,,,
