setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lAREk,298.15,0.2,101,1093.3,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,298.15,0.3,101,1124,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,298.15,0.4,101,1148,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,298.15,0.5,101,1171,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,298.15,0.6,101,1188,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,298.15,0.7,101,1204,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,298.15,0.8,101,1217,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,303.15,0.2,101,1081,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,303.15,0.3,101,1120,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,303.15,0.4,101,1147,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,303.15,0.5,101,1163,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
lAREk,303.15,0.6,101,1180,Anantharaj and Banerjee (2013),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
