setid,"Temperature, K","MolaLity of trihexylammonium octanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bYGee,293.15,0.0683,100,751.193,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,293.15,0.12609,100,753.161,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,293.15,0.18505,100,755.104,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,293.15,0.25067,100,757.179,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,293.15,0.30227,100,758.771,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,293.15,0.36092,100,760.498,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,293.15,0.42638,100,762.352,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,293.15,0.48547,100,763.971,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.0683,100,747.551,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.12609,100,749.513,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.18505,100,751.459,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.25067,100,753.535,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.30227,100,755.121,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.36092,100,756.854,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.42638,100,758.709,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,298.15,0.48547,100,760.327,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,303.15,0.0683,100,743.905,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,303.15,0.12609,100,745.863,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,303.15,0.18505,100,747.805,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,303.15,0.25067,100,749.882,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,303.15,0.30227,100,751.467,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
bYGee,303.15,0.36092,100,753.2,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
