setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium methylsulfate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kEUZD,293.15,0,101,785,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.049,101,839.7,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.0981,101,888.8,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.1987,101,975.7,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.2961,101,1045.8,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.4055,101,1112,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.5043,101,1162.4,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.5987,101,1204,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.6937,101,1239.9,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.7992,101,1274.2,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.9042,101,1304.8,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,0.9502,101,1317.5,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,293.15,1,101,1330.9,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0,101,781,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0.049,101,835.9,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0.0981,101,884.8,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0.1987,101,971.8,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0.2961,101,1042,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0.4055,101,1108.5,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0.5043,101,1159,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
kEUZD,298.15,0.5987,101,1200.3,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
