setid,"Temperature, K",Mole fraction of 1-butyl-3-methyl-1H-imidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mjkBq,293.15,0.2,101,986.25,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,293.15,0.4,101,1068.97,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,293.15,0.601,101,1114.91,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,293.15,0.799,101,1144.73,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,298.15,0.2,101,982.55,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,298.15,0.4,101,1065.45,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,298.15,0.601,101,1111.48,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,298.15,0.799,101,1141.41,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,303.15,0.2,101,978.83,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,303.15,0.4,101,1061.92,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,303.15,0.601,101,1108.04,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,303.15,0.799,101,1138.09,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,308.15,0.2,101,975.11,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,308.15,0.4,101,1058.39,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,308.15,0.601,101,1104.61,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,308.15,0.799,101,1134.75,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,313.15,0.2,101,971.4,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,313.15,0.4,101,1054.87,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,313.15,0.601,101,1101.2,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,313.15,0.799,101,1131.42,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,318.15,0.2,101,967.68,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
