setid,"Temperature, K","Solvent: MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LomjI,293.15,0.04,0,101,1002,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.01999,101,1002.5,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.02993,101,1002.8,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.04003,101,1003,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.0499,101,1003.3,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.0597,101,1003.5,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.0798,101,1004,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.0895,101,1004.3,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.04,0.1,101,1004.6,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.08,0,101,1001.8,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
LomjI,293.15,0.08,0.02003,101,1002.2,Yan et al. (2019),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
