setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jbWuY,293.15,0,100,1129.5,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.0507,100,1176,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.0999,100,1209.9,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.1544,100,1239,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.1999,100,1259,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.3004,100,1291,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.404,100,1315,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.5044,100,1332,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.596,100,1344,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.7027,100,1356,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.8182,100,1366,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,0.8924,100,1371,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
jbWuY,293.15,1,100,1377,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
