setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TqjUx,293.15,0.0001,101.33,0.1,1001.39,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.0003,101.33,0.1,1001.41,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.0005,101.33,0.1,1001.42,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.002,101.33,0.1,1001.5,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.004,101.33,0.1,1001.65,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.006,101.33,0.1,1001.76,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.008,101.33,0.1,1001.88,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.01,101.33,0.1,1001.97,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.012,101.33,0.1,1002.05,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.014,101.33,0.1,1002.15,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.016,101.33,0.1,1002.25,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.0179,101.33,0.1,1002.35,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.02,101.33,0.1,1002.45,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.022,101.33,0.1,1002.55,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,293.15,0.024,101.33,0.1,1002.64,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,298.15,0.0001,101.33,0.1,1000.2,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,298.15,0.0003,101.33,0.1,1000.21,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,298.15,0.0005,101.33,0.1,1000.22,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
TqjUx,298.15,0.002,101.33,0.1,1000.3,Hossain et al. (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
