setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium glycinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SfCUY,298.15,0.295,87.1,1004.1,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,298.15,0.623,87.1,1010.5,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,298.15,0.99,87.1,1016.3,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,303.15,0.295,87.1,1002.6,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,303.15,0.623,87.1,1008.9,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,303.15,0.99,87.1,1014.7,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,308.15,0.295,87.1,1001,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,308.15,0.623,87.1,1007.2,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,308.15,0.99,87.1,1012.9,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,313.15,0.295,87.1,999.1,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,313.15,0.623,87.1,1005.2,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
SfCUY,313.15,0.99,87.1,1010.9,Shekaari et al. (2021a),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,
