setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fOCEO,293.15,0.0165,101,993.84,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.0379,101,1045.32,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.0636,101,1098.24,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.0999,101,1160.65,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.1381,101,1214.48,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.2002,101,1284.15,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.3038,101,1367.83,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.3944,101,1420.86,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.4946,101,1465.66,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.5997,101,1502.25,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.6972,101,1529.32,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.7887,101,1550.58,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,293.15,0.8853,101,1569.6,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.0165,101,988.9,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.0379,101,1040.31,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.0636,101,1093.11,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.0999,101,1155.44,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.1381,101,1209.17,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.2002,101,1278.78,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.3038,101,1362.38,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.3944,101,1415.36,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.4946,101,1460.2,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.5997,101,1496.77,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.6972,101,1523.85,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.7887,101,1545.07,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,298.15,0.8853,101,1564.14,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.0165,101,983.96,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.0379,101,1035.26,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.0636,101,1087.96,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.0999,101,1150.21,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.1381,101,1203.86,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.2002,101,1273.37,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.3038,101,1356.95,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.3944,101,1409.86,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.4946,101,1454.71,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.5997,101,1491.29,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.6972,101,1518.39,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.7887,101,1539.56,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,303.15,0.8853,101,1558.67,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,308.15,0.0165,101,978.95,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,308.15,0.0379,101,1030.17,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,308.15,0.0636,101,1082.78,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,308.15,0.0999,101,1144.9,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
fOCEO,308.15,0.1381,101,1198.5,Gadzuric et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,
