setid,"Temperature, K","Mole fraction of 2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LIQxG,293.15,0,100,789.62,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.0998,100,910.21,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.2003,100,984.3,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.3006,100,1033.78,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.4016,100,1069.61,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.498,100,1095.76,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.5996,100,1117.54,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.6976,100,1134.51,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.7969,100,1148.6,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
LIQxG,293.15,0.9008,100,1160.8,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
