setid,Mole fraction of ethylbenzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PuqBP,0.124,298.15,101,1210.4,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuqBP,0.124,298.15,101,1210.43,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
